TIME(2023/11/07 11:16:25.265),FPOGD,FPOGID,LPMM,RPMM,AOI,
0.00000,0.00000,1,3.33814,2.97600,,
0.00537,0.00537,1,3.38765,2.96825,,
0.01233,0.01232,1,3.36986,2.99275,,
0.01917,0.01916,1,3.35571,2.97206,,
0.02600,0.02600,1,3.35102,2.97901,,
0.03271,0.03271,1,3.34202,3.00079,,
0.03931,0.03930,1,3.35883,3.00773,,
0.04578,0.04577,1,3.37925,2.99960,,
0.05286,0.05285,1,3.36247,2.99885,,
0.05957,0.05957,1,3.35608,2.97281,,
0.06604,0.06604,1,3.34247,2.99405,,
0.07300,0.07299,1,3.34301,2.97134,,
0.07971,0.07971,1,3.37200,2.95545,,
0.08630,0.08630,1,3.33105,2.98514,,
0.09290,0.09289,1,3.33387,2.96235,,
0.09924,0.09924,1,3.33202,2.98260,,
0.10620,0.10620,1,3.33076,2.98169,,
0.11316,0.11315,1,3.33095,2.98041,,
0.11975,0.11975,1,3.37604,2.97598,,
0.12756,0.12756,1,3.37359,3.01381,,
0.13293,0.13293,1,3.38499,2.96149,,
0.13965,0.13964,1,3.36007,2.97855,,
0.14673,0.14672,1,3.38125,2.98953,,
0.15308,0.15307,1,3.37300,2.96934,,
0.15942,0.15942,1,3.34521,2.97897,,
0.16626,0.16626,1,3.35978,2.98690,,
0.17285,0.17285,1,3.37146,2.98607,,
0.18018,0.18017,1,3.35887,2.96976,,
0.18677,0.18676,1,3.36863,2.97179,,
0.19360,0.19360,1,3.38818,2.97029,,
0.20020,0.20019,1,3.33141,2.98738,,
0.20691,0.20691,1,3.35518,2.99342,,
0.21313,0.21313,1,3.37520,2.98891,,
0.22131,0.22131,1,3.41221,3.00735,,
0.22705,0.22705,1,3.38723,2.98116,,
0.23352,0.23352,1,3.39757,2.98948,,
0.23999,0.23999,1,3.38348,3.03978,,
0.24670,0.24670,1,3.38606,3.03060,,
0.25342,0.25341,1,3.36816,3.03546,,
0.26038,0.26037,1,3.39900,2.98949,,
0.26697,0.26696,1,3.36808,3.01641,,
0.27332,0.27331,1,3.36805,3.02081,,
0.28015,0.28015,1,3.37798,3.01158,,
0.28748,0.28747,1,3.40003,2.99010,,
0.29407,0.29406,1,3.38207,2.98992,,
0.30054,0.30053,1,3.42030,3.00334,,
0.30737,0.30737,1,3.38415,3.03847,,
0.31396,0.31396,1,3.39589,3.03866,,
0.32092,0.32092,1,3.38210,2.99147,,
0.32751,0.32751,1,3.42998,2.99252,,
0.33398,0.33398,1,3.42433,3.02698,,
0.34045,0.34045,1,3.36820,3.03712,,
0.34729,0.34729,1,3.39480,3.02875,,
0.35376,0.35376,1,3.38000,3.08831,,
0.36121,0.36120,1,3.40455,3.04356,,
0.36743,0.36743,1,3.40896,3.02122,,
0.37439,0.37439,1,3.38826,3.02694,,
0.38062,0.38061,1,3.40181,3.00089,,
0.38745,0.38745,1,3.38180,3.01812,,
0.39453,0.39453,1,3.38312,3.01653,,
0.40100,0.40100,1,3.39638,3.01833,,
0.40771,0.40771,1,3.41302,3.02187,,
0.41455,0.41455,1,3.38039,3.01160,,
0.42139,0.42138,1,3.37174,3.03930,,
0.42786,0.42785,1,3.37592,3.02145,,
0.43384,0.43383,1,3.39158,3.01080,,
0.44116,0.44116,1,3.40484,3.01254,,
0.44812,0.44812,1,3.37455,3.00301,,
0.45422,0.45422,1,3.50761,3.12229,,
0.46094,0.46093,1,3.49946,3.12846,,
0.46765,0.46093,1,3.50064,3.10619,,
0.47437,0.46093,1,3.59056,3.19554,,
0.48169,0.46093,1,3.33278,2.99660,,
0.48792,0.46093,1,3.28051,3.04910,,
0.49451,0.46093,1,3.37555,3.12535,,
0.50159,0.46093,1,3.27500,3.09615,,
0.50818,0.46093,1,3.27768,3.11105,,
0.51501,0.46093,1,3.28106,3.12259,,
0.52173,0.46093,1,3.23755,3.13403,,
0.52844,0.46093,1,3.18660,3.16447,,
0.53540,0.46093,1,3.19197,3.16369,,
0.54175,0.46093,1,3.19163,3.18810,,
0.54834,0.01990,2,3.17869,3.15280,,
0.55505,0.02661,2,3.19093,3.13954,,
0.56250,0.03406,2,3.16854,3.12815,,
0.56824,0.03979,2,3.17349,3.16148,,
0.57471,0.04626,2,3.15993,3.13831,,
0.58179,0.05334,2,3.20920,3.15610,,
0.58875,0.06030,2,3.22847,3.19040,,
0.59521,0.06677,2,3.17531,3.17348,,
0.60168,0.07324,2,3.17430,3.12866,,
0.60889,0.08044,2,3.17889,3.14726,,
0.61548,0.08704,2,3.15852,3.13778,,
0.62231,0.09387,2,3.15995,3.11450,,
0.62891,0.10046,2,3.12751,3.14111,,
0.63525,0.10681,2,3.15893,3.11005,,
0.64233,0.11389,2,3.14688,3.12155,,
0.64856,0.12012,2,3.17733,3.12706,,
0.65576,0.12732,2,3.24488,3.08294,,
0.66248,0.13403,2,3.25664,3.14495,,
0.66870,0.14026,2,3.21706,3.13310,,
0.67529,0.14685,2,3.21985,3.12895,,
0.68213,0.15369,2,3.22708,3.15246,,
0.68884,0.16040,2,3.24495,3.18238,,
0.69556,0.16711,2,3.24499,3.12721,,
0.70264,0.17419,2,3.23986,3.14366,,
0.70862,0.17419,2,3.26878,3.13805,,
0.71545,0.17419,2,3.27544,3.15699,,
0.72266,0.17419,2,3.19993,3.10374,,
0.72937,0.02075,3,3.18858,3.14757,,
0.73621,0.02759,3,3.21801,3.12809,,
0.74280,0.03418,3,3.18503,3.12719,,
0.74939,0.04077,3,3.22231,3.10970,,
0.75549,0.04688,3,3.20338,3.08518,,
0.76245,0.05383,3,3.25131,3.13582,,
0.76941,0.06079,3,3.23682,3.11843,,
0.77637,0.06775,3,3.22845,3.12096,,
0.78296,0.07434,3,3.21085,3.12544,,
0.78918,0.08057,3,3.23288,3.11501,,
0.79602,0.08740,3,3.23280,3.13782,,
0.80286,0.09424,3,3.21693,3.12201,,
0.80933,0.10071,3,3.21014,3.18310,,
0.81628,0.10767,3,3.22602,3.12759,,
0.82251,0.11389,3,3.18814,3.19828,,
0.82983,0.12122,3,3.19279,3.11526,,
0.83655,0.12793,3,3.18510,3.14309,,
0.84326,0.13464,3,3.22754,3.16003,,
0.85010,0.14148,3,3.24486,3.14434,,
0.85669,0.14807,3,3.24629,3.13762,,
0.86316,0.15454,3,3.20776,3.14563,,
0.86963,0.16101,3,3.20031,3.13388,,
0.87683,0.16821,3,3.21170,3.13579,,
0.88354,0.17493,3,3.23294,3.12978,,
0.88977,0.18115,3,3.21303,3.12075,,
0.89685,0.18823,3,3.36253,3.11466,,
0.90344,0.19482,3,3.28562,3.04626,,
0.91003,0.19482,3,3.38024,3.06893,,
0.91699,0.19482,3,3.57261,3.15868,,
0.92358,0.19482,3,3.38706,3.06494,,
0.92993,0.19482,3,3.33731,3.05392,,
0.93713,0.19482,3,3.36598,3.05344,,
0.94336,0.19482,3,3.35447,3.01453,,
0.95044,0.19482,3,3.35954,3.08521,,
0.95715,0.19482,3,3.34889,3.05233,,
0.96387,0.19482,3,3.34180,3.03623,,
0.97058,0.02014,4,3.34634,3.03621,,
0.97656,0.02612,4,3.35002,3.04191,,
0.98413,0.03369,4,3.37031,3.00264,,
0.98999,0.03955,4,3.35712,3.02422,,
0.99731,0.04688,4,3.35026,3.04607,,
1.00391,0.05347,4,3.35727,3.00323,,
1.01123,0.06079,4,3.39042,2.98070,,
1.01697,0.06653,4,3.39571,3.00803,,
1.02368,0.07324,4,3.40018,3.01749,,
1.03088,0.08044,4,3.40618,3.03870,,
1.03687,0.08643,4,3.40771,3.04561,,
1.04370,0.09326,4,3.41158,2.97220,,
1.05029,0.09985,4,3.34512,2.99155,,
1.05713,0.10669,4,3.33440,3.01304,,
1.06433,0.11389,4,3.36168,3.06895,,
1.07068,0.12024,4,3.38147,3.06443,,
1.07776,0.12732,4,3.38743,3.06417,,
1.08386,0.13342,4,3.39338,3.02961,,
1.09119,0.14075,4,3.37540,2.96977,,
1.09766,0.14722,4,3.37460,3.00801,,
1.10413,0.15369,4,3.37878,2.98004,,
1.11084,0.16040,4,3.40590,3.01971,,
1.11755,0.16711,4,3.38278,3.04095,,
1.12439,0.17395,4,3.38241,2.98192,,
1.13123,0.18079,4,3.37693,2.99333,,
1.13794,0.18750,4,3.39191,3.00030,,
1.14441,0.19397,4,3.38156,2.98041,,
1.15100,0.20056,4,3.37153,3.01027,,
1.15771,0.20728,4,3.37783,2.99061,,
1.16406,0.21362,4,3.40286,3.02661,,
1.17065,0.21362,4,3.40408,3.03494,,
1.17810,0.21362,4,3.40117,3.04651,,
1.18469,0.21362,4,3.36971,3.01351,,
1.19104,0.02039,5,3.38163,3.05476,,
1.19824,0.02759,5,3.33923,3.02793,,
1.20459,0.03394,5,3.36388,3.00414,,
1.21167,0.04102,5,3.38242,3.00506,,
1.21802,0.04736,5,3.40297,3.01693,,
1.22437,0.05371,5,3.40338,3.01720,,
1.23242,0.06177,5,3.41004,3.02610,,
1.23816,0.06750,5,3.40366,3.04624,,
1.24451,0.07385,5,3.41406,3.05983,,
1.25171,0.08105,5,3.38728,3.06904,,
1.25830,0.08765,5,3.40136,3.03849,,
1.26477,0.09412,5,3.39403,3.03840,,
1.27271,0.10205,5,3.40081,3.03458,,
1.27869,0.10803,5,3.40076,3.02147,,
1.28528,0.11462,5,3.36118,2.99457,,
1.29236,0.12170,5,3.37892,3.03278,,
1.29871,0.12805,5,3.35756,2.99359,,
1.30530,0.13464,5,3.41392,3.04414,,
1.31189,0.14124,5,3.35465,3.05946,,
1.31921,0.14856,5,3.41468,3.04205,,
1.32556,0.15491,5,3.35936,3.06999,,
1.33203,0.16138,5,3.36015,3.05279,,
1.33850,0.16785,5,3.33261,3.04473,,
1.34558,0.17493,5,3.34989,3.07373,,
1.35193,0.18127,5,3.37359,3.05415,,
1.35852,0.18787,5,3.35702,3.05470,,
1.36548,0.19482,5,3.39573,3.08405,,
1.37231,0.20166,5,3.40046,3.06898,,
1.37866,0.20801,5,3.40845,3.06127,,
1.38538,0.21472,5,3.41762,3.05659,,
1.39258,0.22192,5,3.41766,3.03768,,
1.39905,0.22839,5,3.40940,3.02138,,
1.40576,0.23511,5,3.39607,3.02539,,
1.41235,0.24170,5,3.42011,3.02574,,
1.41919,0.24854,5,3.39859,3.01457,,
1.42603,0.25537,5,3.43122,3.04265,,
1.43274,0.26208,5,3.39335,3.03980,,
1.43896,0.26831,5,3.41428,3.04138,,
1.44592,0.27527,5,3.40494,3.01712,,
1.45239,0.28174,5,3.39324,3.00634,,
1.45898,0.28833,5,3.40520,3.01198,,
1.46631,0.29565,5,3.39318,3.03882,,
1.47302,0.30237,5,3.38884,3.03629,,
1.47913,0.30847,5,3.36888,3.04164,,
1.48584,0.31519,5,3.38221,3.02307,,
1.49304,0.32239,5,3.40394,2.99966,,
1.49976,0.32910,5,3.39418,3.02457,,
1.50635,0.33569,5,3.33615,3.03123,,
1.51318,0.34253,5,3.39370,3.05085,,
1.51953,0.34888,5,3.42323,3.05930,,
1.52661,0.35596,5,3.36293,3.00398,,
1.53320,0.36255,5,3.34818,3.01104,,
1.53955,0.36890,5,3.33172,2.99247,,
1.54663,0.36890,5,3.35323,3.01711,,
1.55298,0.36890,5,3.33243,3.07914,,
1.56006,0.36890,5,3.37408,3.06104,,
1.56616,0.36890,5,3.99454,3.94086,,
1.57288,0.36890,5,4.05399,4.03405,,
1.58008,0.36890,5,3.90292,4.03580,,
1.58630,0.36890,5,3.80583,3.92491,,
1.59314,0.36890,5,3.80511,3.90014,,
1.60010,0.36890,5,3.77706,3.84495,,
1.60669,0.02039,6,3.78866,3.88688,,
1.61365,0.02734,6,3.77221,3.90193,,
1.62000,0.03369,6,3.80893,3.83231,,
1.62695,0.04065,6,3.93916,3.88466,,
1.63379,0.04749,6,3.86527,3.92157,,
1.64014,0.05383,6,3.88018,3.93933,,
1.64673,0.06042,6,3.91469,3.80976,,
1.65332,0.06702,6,3.71963,3.77808,,
1.66113,0.07483,6,3.69227,3.77991,,
1.66675,0.08044,6,3.73785,3.79591,,
1.67346,0.08716,6,3.77786,3.76614,,
1.68030,0.09399,6,3.75842,3.79302,,
1.68665,0.10034,6,3.73349,3.77803,,
1.69397,0.10767,6,3.70540,3.77624,,
1.70020,0.11389,6,3.65182,3.76280,,
1.70740,0.12109,6,3.69168,3.77324,,
1.71411,0.12781,6,3.71079,4.05024,,
1.72034,0.13403,6,3.70583,3.88407,,
1.72729,0.14099,6,3.68891,3.89101,,
1.73413,0.14783,6,3.76898,4.00679,,
1.74084,0.15454,6,3.75270,3.82147,,
1.74756,0.16125,6,3.80228,3.90191,,
1.75378,0.16748,6,3.76243,3.92915,,
1.76099,0.17468,6,3.69072,4.07228,,
1.76746,0.18115,6,3.74845,3.96200,,
1.77405,0.18774,6,3.92525,3.96225,,
1.78076,0.19446,6,3.91822,3.97184,,
1.78735,0.20105,6,3.89008,3.93188,,
1.79395,0.20764,6,3.87280,3.94396,,
1.80115,0.21484,6,3.87639,3.94420,,
1.80750,0.22119,6,3.88584,3.93285,,
1.81458,0.22827,6,3.92774,3.94546,,
1.82129,0.23499,6,3.90691,3.97570,,
1.82764,0.24133,6,3.90816,4.04637,,
1.83459,0.24829,6,3.80020,3.88901,,
1.84131,0.25500,6,3.84782,3.90735,,
1.84814,0.26184,6,3.89266,3.95062,,
1.85474,0.26843,6,3.78805,3.87957,,
1.86145,0.27515,6,3.61238,3.92197,,
1.86780,0.28149,6,3.66753,4.08133,,
1.87451,0.28821,6,3.47452,3.77121,,
1.88123,0.29492,6,3.40509,3.86369,,
1.88757,0.30127,6,3.43692,3.79846,,
1.89453,0.30823,6,3.70492,3.71911,,
1.90161,0.31531,6,3.70488,3.70670,,
1.90833,0.32202,6,3.72061,3.67137,,
1.91504,0.32874,6,3.71644,3.65671,,
1.92139,0.33508,6,3.72869,3.65749,,
1.92834,0.34204,6,3.73666,3.65570,,
1.93457,0.34827,6,3.71834,3.74091,,
1.94177,0.35547,6,3.75098,3.73585,,
1.94873,0.36243,6,3.69467,3.76901,,
1.95520,0.36890,6,3.36960,3.88843,,
1.96191,0.36890,6,2.81780,3.81402,,
1.96863,0.36890,6,2.81780,3.74648,,
1.97546,0.36890,6,2.81780,3.49750,,
1.98206,0.02014,7,2.81780,3.53009,,
1.98816,0.02625,7,2.81780,3.68394,,
1.99512,0.03320,7,2.81780,3.67943,,
2.00171,0.03979,7,2.81780,3.65771,,
2.00842,0.04651,7,2.81780,3.76304,,
2.01550,0.05359,7,2.81780,3.71769,,
2.02222,0.06030,7,2.81780,3.71769,,
2.02832,0.06641,7,2.81780,3.71769,,
2.03516,0.07324,7,2.81780,3.71769,,
2.04211,0.07324,7,2.81780,3.71769,,
2.04871,0.07324,7,2.81780,3.71769,,
2.05566,0.07324,7,2.81780,3.71769,,
2.06238,0.07324,7,2.81780,3.71769,,
2.06909,0.07324,7,2.81780,3.71769,,
2.07581,0.07324,7,3.72260,3.82416,,
2.08240,0.07324,7,3.72282,3.78340,,
2.08850,0.07324,7,3.71442,3.69023,,
2.09546,0.07324,7,3.75301,3.71383,,
2.10242,0.02002,8,3.69149,3.73734,,
2.10913,0.02673,8,3.68473,3.75194,,
2.11548,0.03308,8,3.67270,3.72865,,
2.12244,0.04004,8,3.65370,3.72814,,
2.12891,0.04651,8,3.58615,3.73304,,
2.13599,0.05359,8,3.61720,3.72326,,
2.14221,0.05981,8,3.61245,3.75293,,
2.14941,0.06702,8,3.62396,3.86455,,
2.15613,0.07373,8,3.68552,3.84052,,
2.16284,0.08044,8,3.67461,3.81028,,
2.16919,0.08679,8,3.72204,3.69426,,
2.17615,0.09375,8,3.70745,3.68740,,
2.18274,0.10034,8,3.72007,3.78206,,
2.18958,0.10718,8,3.73079,3.81093,,
2.19629,0.11389,8,3.75272,3.76108,,
2.20264,0.12024,8,3.71723,3.74603,,
2.20935,0.12695,8,3.87981,3.94835,,
2.21582,0.13342,8,3.67485,3.86856,,
2.22266,0.14026,8,3.81531,3.83629,,
2.22998,0.14758,8,3.85439,3.87008,,
2.23645,0.15405,8,3.74024,3.81827,,
2.24316,0.16077,8,3.86424,3.81054,,
2.24951,0.16711,8,3.93125,3.94937,,
2.25671,0.17432,8,3.94627,3.76755,,
2.26282,0.17432,8,3.94658,3.79884,,
2.27002,0.17432,8,3.89808,3.89107,,
2.27673,0.17432,8,3.79259,3.90620,,
2.28345,0.02063,9,3.81624,3.90291,,
2.29016,0.02734,9,3.87473,3.87036,,
2.29688,0.03406,9,3.82251,3.90271,,
2.30347,0.04065,9,3.85390,3.88472,,
2.30969,0.04688,9,3.87663,4.00114,,
2.31689,0.05408,9,3.86612,3.97007,,
2.32324,0.06042,9,3.91433,3.92374,,
2.33008,0.06726,9,3.90856,3.93304,,
2.33655,0.07373,9,3.91924,3.93619,,
2.34326,0.08044,9,3.93503,3.96408,,
2.35046,0.08765,9,3.87375,4.00378,,
2.35657,0.09375,9,3.89907,3.89670,,
2.36340,0.10059,9,3.90639,3.90513,,
2.37048,0.10767,9,3.98881,3.93222,,
2.37720,0.11438,9,3.82659,3.92101,,
2.38391,0.12109,9,3.85958,3.89887,,
2.39062,0.12781,9,3.78214,3.97453,,
2.39734,0.13452,9,3.78276,3.92309,,
2.40344,0.14062,9,3.81336,3.91768,,
2.41040,0.14758,9,3.78000,3.88739,,
2.41736,0.15454,9,3.86400,3.88779,,
2.42371,0.16089,9,3.83949,3.88985,,
2.43066,0.16785,9,3.75213,3.95041,,
2.43701,0.17419,9,3.76530,3.93176,,
2.44385,0.18103,9,3.79546,3.90740,,
2.45081,0.18799,9,3.78184,3.82668,,
2.45752,0.19470,9,3.77493,4.00460,,
2.46436,0.20154,9,3.77903,3.96646,,
2.47058,0.20776,9,3.73869,3.89718,,
2.47742,0.21460,9,3.89169,4.02380,,
2.48401,0.22119,9,3.92997,3.97965,,
2.49109,0.22827,9,3.79294,3.99699,,
2.49719,0.23438,9,3.89431,3.85760,,
2.50403,0.24121,9,3.88191,3.87615,,
2.51074,0.24792,9,3.72318,3.85142,,
2.51746,0.25464,9,3.80210,3.91693,,
2.52405,0.26123,9,3.94421,3.86472,,
2.53088,0.26807,9,3.85758,3.92623,,
2.53760,0.27478,9,3.87768,3.86048,,
2.54407,0.28125,9,3.86613,3.72162,,
2.55103,0.28821,9,3.75718,3.71084,,
2.55786,0.29504,9,3.72105,3.94810,,
2.56433,0.30151,9,3.98402,3.94080,,
2.57129,0.30847,9,3.91578,3.98204,,
2.57764,0.31482,9,3.89467,4.01858,,
2.58472,0.32190,9,3.85716,3.97234,,
2.59106,0.32825,9,3.81264,4.06385,,
2.59814,0.33533,9,3.78730,3.94521,,
2.60474,0.34192,9,3.80863,3.87909,,
2.61157,0.34875,9,3.84733,3.94199,,
2.61841,0.35559,9,3.76402,3.93379,,
2.62463,0.36182,9,3.69173,3.99078,,
2.63196,0.36914,9,3.73451,3.96820,,
2.63794,0.37512,9,3.69436,3.87018,,
2.64587,0.38306,9,3.69430,3.80750,,
2.65186,0.38904,9,3.74625,3.76793,,
2.65881,0.39600,9,3.85005,3.92496,,
2.66492,0.40210,9,3.84723,3.80931,,
2.67151,0.40210,9,3.86575,3.95124,,
2.67871,0.40210,9,3.86844,3.84207,,
2.68481,0.40210,9,3.88993,3.97814,,
2.69165,0.02014,10,3.90514,4.05529,,
2.69824,0.02673,10,3.83181,4.06205,,
2.70483,0.03333,10,3.89657,4.06071,,
2.71191,0.04041,10,3.87843,4.07112,,
2.71875,0.04724,10,3.85453,3.93065,,
2.72546,0.05396,10,3.89130,4.14385,,
2.73230,0.06079,10,3.87546,4.01927,,
2.73853,0.06702,10,3.85212,4.01218,,
2.74561,0.07410,10,3.85980,4.03198,,
2.75232,0.08081,10,3.77333,4.03359,,
2.75903,0.08752,10,3.85929,4.15583,,
2.76550,0.09399,10,3.74642,4.12846,,
2.77209,0.10059,10,3.89326,3.93164,,
2.77917,0.10767,10,3.88200,3.90996,,
2.78540,0.11389,10,3.91942,3.88975,,
2.79236,0.12085,10,3.86647,3.86083,,
2.79858,0.12708,10,3.86491,3.87723,,
2.80542,0.13391,10,3.86959,3.92725,,
2.81287,0.14136,10,3.96164,3.91681,,
2.81934,0.14783,10,3.96503,3.88612,,
2.82556,0.15405,10,3.96560,3.91373,,
2.83264,0.16113,10,4.01979,3.84527,,
2.83899,0.16748,10,3.94179,3.92753,,
2.84570,0.17419,10,3.71364,4.00381,,
2.85278,0.18127,10,3.71634,3.96278,,
2.85901,0.18750,10,3.75297,3.94391,,
2.86597,0.19446,10,3.70448,3.84225,,
2.87231,0.20081,10,3.68278,4.01871,,
2.87939,0.20789,10,3.77508,4.02093,,
2.88574,0.21423,10,3.80088,3.97648,,
2.89258,0.22107,10,3.74169,3.93090,,
2.89966,0.22815,10,3.78701,3.94486,,
2.90625,0.23474,10,3.78656,3.90990,,
2.91260,0.24109,10,3.84287,3.89117,,
2.91968,0.24817,10,3.79657,3.88335,,
2.92651,0.25500,10,3.89674,3.79433,,
2.93311,0.25500,10,3.76641,3.87519,,
2.93982,0.25500,10,3.76175,3.76307,,
2.94653,0.25500,10,3.72432,3.91402,,
2.95337,0.02026,11,3.83189,3.84817,,
2.95996,0.02686,11,3.81794,3.81998,,
2.96667,0.03357,11,3.88480,3.79867,,
2.97290,0.03979,11,3.76544,3.70941,,
2.97998,0.04688,11,3.66111,3.77348,,
2.98633,0.05322,11,3.74852,3.72773,,
2.99316,0.06006,11,2.88637,2.66122,,
3.00024,0.06714,11,2.88422,2.60330,,
3.00671,0.07361,11,3.94712,2.59157,,
3.01343,0.08032,11,2.90493,2.56923,,
3.01978,0.08667,11,2.83268,2.56668,,
3.02673,0.09363,11,2.87324,2.55189,,
3.03345,0.10034,11,2.87061,2.50285,,
3.04016,0.10034,11,2.90750,2.51029,,
3.04688,0.10034,11,2.83022,2.48582,,
3.05347,0.10034,11,2.81489,2.52647,,
3.06006,0.10034,11,2.80328,2.42784,,
3.06702,0.10034,11,2.81593,2.47721,,
3.07373,0.10034,11,2.78744,2.55754,,
3.08008,0.02002,12,2.79399,2.46030,,
3.08704,0.02698,12,2.77983,2.43091,,
3.09399,0.03394,12,2.75179,2.39721,,
3.10046,0.04041,12,2.75739,2.41954,,
3.10681,0.04675,12,2.74738,2.39880,,
3.11389,0.05383,12,2.76983,2.41482,,
3.12024,0.06018,12,2.76180,2.41453,,
3.12732,0.06726,12,2.72828,2.40391,,
3.13391,0.07385,12,2.74057,2.39854,,
3.14050,0.08044,12,2.70865,2.40542,,
3.14746,0.08740,12,2.77555,2.43438,,
3.15405,0.09399,12,2.71398,2.37026,,
3.16077,0.10071,12,2.77592,2.42680,,
3.16724,0.10718,12,2.80049,2.52693,,
3.17419,0.11414,12,2.75199,2.39307,,
3.18091,0.12085,12,2.71801,2.33478,,
3.18750,0.12744,12,2.77657,2.33356,,
3.19421,0.12744,12,2.75217,2.33244,,
3.20093,0.12744,12,2.72534,2.33011,,
3.20740,0.12744,12,2.71929,2.32774,,
3.21423,0.12744,12,2.70150,2.36461,,
3.22095,0.12744,12,2.73211,2.35203,,
3.22754,0.12744,12,2.71529,2.37544,,
3.23462,0.12744,12,2.70469,2.37189,,
3.24072,0.12744,12,2.70142,2.33311,,
3.24792,0.12744,12,2.68596,2.32328,,
3.25476,0.12744,12,2.71248,2.33803,,
3.26111,0.12744,12,2.72155,2.36105,,
3.26794,0.12744,12,2.73135,2.33801,,
3.27478,0.12744,12,2.67615,2.28026,,
3.28149,0.12744,12,2.68548,2.28626,,
3.28821,0.12744,12,2.69423,2.36319,,
3.29468,0.12744,12,2.72328,2.42303,,
3.30164,0.12744,12,2.71825,2.37861,,
3.30774,0.12744,12,2.73861,2.30102,,
3.31470,0.12744,12,2.67774,2.30900,,
3.32129,0.12744,12,2.68277,2.35462,,
3.32800,0.12744,12,2.74389,2.35421,,
3.33484,0.02014,13,2.71419,2.33560,,
3.34167,0.02698,13,2.71629,2.31907,,
3.34790,0.03320,13,2.78377,2.35110,,
3.35486,0.04016,13,2.72654,2.35423,,
3.36194,0.04724,13,2.70828,2.39084,,
3.36877,0.05408,13,2.72086,2.39021,,
3.37524,0.06055,13,2.73286,2.36437,,
3.38196,0.06726,13,2.75075,2.44666,,
3.38867,0.07397,13,2.80124,2.41397,,
3.39539,0.08069,13,2.80973,2.43668,,
3.40198,0.08728,13,2.80117,2.44527,,
3.40845,0.09375,13,2.77876,2.44654,,
3.41541,0.10071,13,2.84054,2.47598,,
3.42163,0.10693,13,2.80758,2.47152,,
3.42896,0.11426,13,2.80773,2.48183,,
3.43518,0.12048,13,2.82912,2.45341,,
3.44202,0.12732,13,2.81697,2.46115,,
3.44885,0.13416,13,2.86262,2.46373,,
3.45544,0.14075,13,2.88410,2.48109,,
3.46179,0.14709,13,2.89102,2.50808,,
3.46899,0.15430,13,2.91112,2.50669,,
3.47583,0.16113,13,2.88583,2.47633,,
3.48242,0.16113,13,2.88608,2.45579,,
3.48901,0.16113,13,2.88922,2.45423,,
3.49573,0.16113,13,2.90247,2.46434,,
3.50256,0.02014,14,2.89459,2.46800,,
3.50928,0.02686,14,2.88339,2.47531,,
3.51587,0.03345,14,2.87701,2.49101,,
3.52222,0.03979,14,2.88975,2.48646,,
3.52930,0.04688,14,2.89025,2.51136,,
3.53552,0.05310,14,2.92299,2.51869,,
3.54224,0.05981,14,2.90326,2.52504,,
3.54919,0.06677,14,2.90531,2.55676,,
3.55603,0.07361,14,2.91024,2.57828,,
3.56287,0.08044,14,2.88599,2.54662,,
3.56909,0.08667,14,2.91369,2.55021,,
3.57617,0.09375,14,2.85941,2.57420,,
3.58264,0.10022,14,2.91515,2.60626,,
3.58972,0.10730,14,2.86578,2.57150,,
3.59631,0.11389,14,2.93872,2.57694,,
3.60291,0.12048,14,2.88817,2.63487,,
3.60962,0.12048,14,2.88355,2.57598,,
3.61633,0.12048,14,2.94882,2.55308,,
3.62317,0.12048,14,2.93239,2.58846,,
3.62915,0.01953,15,2.89720,2.59033,,
3.63647,0.02686,15,2.92463,2.62288,,
3.64270,0.03308,15,2.96399,2.67862,,
3.64954,0.03992,15,2.95099,2.58574,,
3.65613,0.04651,15,2.92325,2.64230,,
3.66357,0.05396,15,2.94644,2.63105,,
3.66992,0.06030,15,2.88510,2.61716,,
3.67639,0.06677,15,2.92363,2.58104,,
3.68298,0.07336,15,2.91955,2.57961,,
3.69006,0.08044,15,2.94837,2.59310,,
3.69678,0.08716,15,2.91640,2.55662,,
3.70349,0.09387,15,2.91601,2.56575,,
3.71021,0.10059,15,2.93178,2.56085,,
3.71680,0.10718,15,2.94271,2.58598,,
3.72327,0.11365,15,2.90380,2.58758,,
3.73022,0.12061,15,2.92846,2.56236,,
3.73657,0.12695,15,2.96234,2.58909,,
3.74377,0.13416,15,2.94097,2.61417,,
3.75037,0.14075,15,2.92563,2.57390,,
3.75671,0.14709,15,2.91604,2.61713,,
3.76367,0.15405,15,2.87797,2.58394,,
3.77002,0.16040,15,2.92647,2.63402,,
3.77673,0.16711,15,2.94205,2.63978,,
3.78369,0.17407,15,2.92627,2.59213,,
3.79004,0.18042,15,2.94927,2.60506,,
3.79724,0.18762,15,2.94839,2.62855,,
3.80383,0.19421,15,2.91658,2.60623,,
3.81067,0.20105,15,2.91738,2.62666,,
3.81714,0.20752,15,2.91466,2.59752,,
3.82397,0.21436,15,2.95490,2.58468,,
3.83057,0.22095,15,2.94083,2.58874,,
3.83740,0.22778,15,2.91217,2.60115,,
3.84412,0.23450,15,2.94064,2.63512,,
3.85083,0.24121,15,2.94620,2.66711,,
3.85718,0.24756,15,2.96404,2.59735,,
3.86438,0.25476,15,2.99835,2.64453,,
3.87048,0.26086,15,3.09732,2.61269,,
3.87720,0.26758,15,2.94315,2.58474,,
3.88440,0.27478,15,2.93403,2.64556,,
